Date,Open,High,Low,Close,Adj Close,Volume
7/18/2023,14212.25,14396.69043,14176.11035,14353.63965,14353.63965,4824070000
7/19/2023,14398.53027,14446.54981,14317.08984,14358.01953,14358.01953,5112420000
7/20/2023,14273.29004,14309.91992,14030.62012,14063.30957,14063.30957,5128020000
7/21/2023,14148.17969,14179.00977,14020.4502,14032.80957,14032.80957,5254180000
7/24/2023,14081.62988,14110.15039,13997.12988,14058.87012,14058.87012,4083070000
7/25/2023,14093.24023,14201.91016,14092.51953,14144.55957,14144.55957,3812470000
7/26/2023,14123.51953,14187.34961,14041.9502,14127.28027,14127.28027,4322000000
7/27/2023,14319.16016,14360.2002,14006.92969,14050.11035,14050.11035,5115840000
7/28/2023,14199.83008,14344.34961,14188.09961,14316.66016,14316.66016,4453520000
7/31/2023,14337.90039,14370.91016,14292.75,14346.01953,14346.01953,4934440000
8/1/2023,14274.92969,14309.20996,14215.63965,14283.91016,14283.91016,4633770000
8/2/2023,14132.73047,14133.84961,13914.80957,13973.4502,13973.4502,5481960000
8/3/2023,13899.75977,14032.28027,13881.34961,13959.71973,13959.71973,6036970000
8/4/2023,14025.95996,14119.21973,13897.92969,13909.24023,13909.24023,5349450000
8/7/2023,13972.4502,13997.15039,13864.91992,13994.40039,13994.40039,4892330000
8/8/2023,13875.4502,13899.74023,13769.33984,13884.32031,13884.32031,5284550000
8/9/2023,13897.61035,13898.54004,13698.38965,13722.01953,13722.01953,5591360000
8/10/2023,13818.25,13947.16016,13686.50977,13737.99023,13737.99023,5299080000
8/11/2023,13633.65039,13720.33008,13609.98047,13644.84961,13644.84961,4638880000
8/14/2023,13599,13789.16016,13582.49023,13788.33008,13788.33008,4272020000
8/15/2023,13760.48047,13774.98047,13611.94043,13631.04981,13631.04981,4473320000
8/16/2023,13593.16992,13644.32031,13473.03027,13474.62988,13474.62988,6243760000
8/17/2023,13527.29981,13535.08984,13303.4502,13316.92969,13316.92969,5280180000
8/18/2023,13190.01953,13335.87012,13161.75977,13290.78027,13290.78027,4801910000
8/21/2023,13347.25977,13516.86035,13325.58984,13497.58984,13497.58984,4363070000
8/22/2023,13593.9502,13598.76953,13484.37988,13505.87012,13505.87012,4282430000
8/23/2023,13532.42969,13757,13532.42969,13721.03027,13721.03027,4127850000
8/24/2023,13834.30957,13834.69043,13462.83984,13463.96973,13463.96973,4383820000
8/25/2023,13514.37012,13633.41992,13376.34961,13590.65039,13590.65039,3970060000
8/28/2023,13695.36035,13735.98047,13626.63965,13705.12988,13705.12988,3666680000
8/29/2023,13687.23047,13959.80957,13677.05957,13943.75977,13943.75977,4748180000
8/30/2023,13961.76953,14050.82031,13924.2002,14019.30957,14019.30957,4364600000
8/31/2023,14041.54004,14114.66992,14010.48047,14034.96973,14034.96973,4568610000
9/1/2023,14129.95996,14149.62012,13982.41992,14031.80957,14031.80957,4033960000
9/5/2023,13994.54004,14060.84961,13945.65039,14020.9502,14020.9502,4379790000
9/6/2023,13988.80957,14001.9502,13802.41992,13872.46973,13872.46973,4215320000
9/7/2023,13675.11035,13774.62988,13642.46973,13748.83008,13748.83008,4320830000
9/8/2023,13754.70996,13843.37012,13733.17969,13761.53027,13761.53027,4160360000
9/11/2023,13884.03027,13937.46973,13805.12988,13917.88965,13917.88965,4538870000
9/12/2023,13858.94043,13913.59961,13763.69043,13773.61035,13773.61035,4595490000
9/13/2023,13773.66992,13868.57031,13733.82031,13813.58984,13813.58984,4840310000
9/14/2023,13889.75977,13957.57031,13810.66016,13926.04981,13926.04981,4649010000
9/15/2023,13889.2002,13895.75,13684.24023,13708.33008,13708.33008,8162210000
9/18/2023,13669.95996,13751.28027,13663.45996,13710.24023,13710.24023,4855880000
9/19/2023,13649.44043,13705.15039,13578.87012,13678.19043,13678.19043,4453460000
9/20/2023,13710.25977,13727.80957,13467.28027,13469.12988,13469.12988,4782440000
9/21/2023,13328.05957,13362.23047,13222.55957,13223.98047,13223.98047,5014890000
9/22/2023,13287.16992,13353.21973,13200.63965,13211.80957,13211.80957,4302700000
9/25/2023,13172.54004,13277.83008,13132,13271.32031,13271.32031,4100290000
9/26/2023,13180.95996,13199.12988,13033.40039,13063.61035,13063.61035,4693540000
9/27/2023,13115.36035,13156.37012,12963.16016,13092.84961,13092.84961,4841410000
9/28/2023,13043.37012,13270.96973,13025.11035,13201.28027,13201.28027,4648390000
9/29/2023,13337.70996,13382.98047,13177.08984,13219.32031,13219.32031,5138500000
10/2/2023,13217.98047,13364.03027,13204.08008,13307.76953,13307.76953,4554700000
10/3/2023,13229.67969,13280.04004,13008.59961,13059.46973,13059.46973,4684310000
10/4/2023,13092.91992,13258.75977,13072.50977,13236.00977,13236.00977,4308070000
10/5/2023,13228.12012,13251.17969,13087.57031,13219.83008,13219.83008,4167470000
10/6/2023,13127.67969,13472.26953,13099.03027,13431.33984,13431.33984,4309420000
10/9/2023,13326.21973,13509.29981,13277.48047,13484.24023,13484.24023,3835930000
10/10/2023,13505.80957,13659.62988,13491.80957,13562.83984,13562.83984,4301350000
10/11/2023,13619.20996,13671.11035,13549.29004,13659.67969,13659.67969,4160440000
10/12/2023,13672.46973,13714.13965,13491.55957,13574.21973,13574.21973,4858620000
10/13/2023,13613.58984,13619.54004,13361.84961,13407.23047,13407.23047,4251550000
10/16/2023,13453.80957,13598.04981,13447.16992,13567.98047,13567.98047,4308690000
10/17/2023,13419.87012,13602.25,13364.74023,13533.75,13533.75,4417640000
